STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
SIKKIM,Honor Killing,0,3,1,1,3,4,8,5,12,4,4,6
TAMIL NADU,Honor Killing,1545,1797,2558,2540,2606,2392,3538,3351,2697,2981,2879,4019
TRIPURA,Honor Killing,252,249,477,493,882,857,618,1064,1760,1172,1776,1147
UTTAR PRADESH,Honor Killing,19827,17126,7089,14394,14154,14590,23465,27984,31807,29853,33465,36115
UTTARAKHAND,Honor Killing,746,802,854,1454,698,989,1437,570,890,625,382,484
WEST BENGAL,Honor Killing,6645,8792,9549,10212,12201,15354,14700,17521,13884,18387,17583,22911
TOTAL (STATES),Honor Killing,108207,112034,107896,123057,124816,133675,153486,163986,173647,179476,179784,196627
A & N ISLANDS,Honor Killing,7,3,15,15,7,7,34,23,35,12,8,4
CHANDIGARH,Honor Killing,33,51,112,134,142,190,143,80,28,18,24,86
D & N HAVELI,Honor Killing,4,8,2,6,13,6,3,11,0,14,4,0
DAMAN & DIU,Honor Killing,13,4,0,8,7,14,19,20,4,6,0,11
DELHI,Honor Killing,1200,844,2594,2435,2572,3256,2688,725,658,878,860,1026
LAKSHADWEEP,Honor Killing,0,0,0,1,0,1,0,0,2,0,0,1
PUDUCHERRY,Honor Killing,3,12,4,1,3,31,39,16,21,9,21,7
TOTAL (UTs),Honor Killing,1260,922,2727,2600,2744,3505,2926,875,748,937,917,1135
TOTAL (ALL-INDIA),Honor Killing,109467,112956,110623,125657,127560,137180,156412,164861,174395,180413,180701,197762
ANDHRA PRADESH,Homicides,6,0,1,5,5,0,0,0,0,0,0,0
ARUNACHAL PRADESH,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,Homicides,0,0,0,0,3,0,0,0,1,0,2,2
BIHAR,Homicides,179,63,48,39,90,68,87,56,17,26,26,6
CHHATTISGARH,Homicides,0,0,0,0,0,3,0,0,0,5,7,0
GOA,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,Homicides,8,33,0,0,35,0,0,63,20,15,1,3
KARNATAKA,Homicides,0,0,0,0,0,0,0,0,0,0,2,0
KERALA,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,Homicides,0,0,0,0,4,0,0,0,2,19,178,10
MAHARASHTRA,Homicides,11,0,0,0,0,2,0,0,0,0,0,0
MANIPUR,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,Homicides,0,0,0,0,0,0,0,0,2,0,2,0
MIZORAM,Homicides,0,1,1,0,0,0,0,0,0,0,0,0
NAGALAND,Homicides,0,0,1,0,0,0,0,0,0,0,0,0
ODISHA,Homicides,0,0,0,0,0,0,0,0,0,5,3,0
PUNJAB,Homicides,0,0,0,0,0,6,0,0,0,0,0,0
RAJASTHAN,Homicides,2,0,3,5,0,4,0,0,0,0,0,0
SIKKIM,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,Homicides,12,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,Homicides,0,0,0,7,0,0,0,0,0,0,0,0
UTTARAKHAND,Homicides,0,2,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,Homicides,2,2,1,12,75,2,8,6,7,11,0,25
TOTAL (STATES),Homicides,220,101,55,68,212,85,95,125,49,81,221,46
A & N ISLANDS,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Homicides,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),Homicides,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),Homicides,220,101,55,68,212,85,95,125,49,81,221,46
ANDHRA PRADESH,Immoral traffic act,1860,1598,881,1066,1691,1830,1700,1179,1016,1332,1267,1354
ARUNACHAL PRADESH,Immoral traffic act,0,0,0,0,0,0,0,0,0,0,0,1
ASSAM,Immoral traffic act,6,63,82,82,69,124,52,62,61,49,55,51
BIHAR,Immoral traffic act,168,27,34,50,43,30,55,80,56,52,34,116
CHHATTISGARH,Immoral traffic act,36,30,19,40,19,72,73,9,43,51,60,22
GOA,Immoral traffic act,101,69,65,71,110,62,27,42,67,44,42,100
GUJARAT,Immoral traffic act,390,426,698,156,265,377,229,212,200,157,206,124
HARYANA,Immoral traffic act,93,181,250,275,319,359,353,361,391,226,251,303
HIMACHAL PRADESH,Immoral traffic act,5,2,25,15,26,0,0,12,26,11,3,18
JAMMU & KASHMIR,Immoral traffic act,16,20,5,29,13,14,9,10,19,0,8,13
JHARKHAND,Immoral traffic act,2,7,5,5,37,34,59,16,2,23,22,20
KARNATAKA,Immoral traffic act,2325,2441,2723,2571,3178,2545,1908,1666,1338,934,1387,1240
KERALA,Immoral traffic act,410,476,455,426,503,459,518,422,649,576,308,324
MADHYA PRADESH,Immoral traffic act,105,79,94,133,79,69,105,39,75,91,193,59
MAHARASHTRA,Immoral traffic act,976,1438,962,1149,1046,1645,1266,1405,1437,1007,1392,1621
MANIPUR,Immoral traffic act,11,29,0,0,2,0,0,0,0,0,0,0
MEGHALAYA,Immoral traffic act,0,0,1,0,0,2,1,14,0,12,15,20
MIZORAM,Immoral traffic act,11,9,1,4,0,0,0,1,1,0,5,0
NAGALAND,Immoral traffic act,1,24,1,12,5,19,20,10,24,15,6,26
ODISHA,Immoral traffic act,95,109,79,63,107,131,131,107,57,97,69,82
PUNJAB,Immoral traffic act,120,209,229,140,185,269,145,168,234,288,214,402
RAJASTHAN,Immoral traffic act,218,281,256,272,408,387,320,253,215,299,339,349
SIKKIM,Immoral traffic act,0,0,7,3,0,2,11,0,2,5,7,0
TAMIL NADU,Immoral traffic act,5331,3911,3303,3793,3649,2241,1964,1279,1269,921,878,927
TRIPURA,Immoral traffic act,0,0,0,0,0,0,0,0,0,1,8,0
UTTAR PRADESH,Immoral traffic act,125,236,304,259,200,491,304,383,201,119,256,187
UTTARAKHAND,Immoral traffic act,0,0,0,17,10,23,60,20,29,27,14,61
WEST BENGAL,Immoral traffic act,157,88,328,258,151,168,253,232,238,227,336,455
TOTAL (STATES),Immoral traffic act,12562,11753,10807,10889,12115,11353,9563,7982,7650,6564,7375,7875
A & N ISLANDS,Immoral traffic act,0,0,0,0,0,0,2,0,2,15,14,16
CHANDIGARH,Immoral traffic act,9,9,14,48,27,7,21,35,14,13,5,0
D & N HAVELI,Immoral traffic act,0,0,8,0,0,0,6,22,0,8,0,12
DAMAN & DIU,Immoral traffic act,27,10,0,5,4,5,28,30,27,42,47,24
DELHI,Immoral traffic act,136,201,205,477,501,376,217,162,77,96,123,104
LAKSHADWEEP,Immoral traffic act,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Immoral traffic act,89,83,67,9,18,42,24,19,32,37,17,21
TOTAL (UTs),Immoral traffic act,261,303,294,539,550,430,298,268,152,211,206,177
TOTAL (ALL-INDIA),Immoral traffic act,12823,12056,11101,11428,12665,11783,9861,8250,7802,6775,7581,8052
ANDHRA PRADESH,Embezzlement,1042,700,405,476,452,705,1201,1433,1508,1615,1925,2780
ARUNACHAL PRADESH,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,Embezzlement,197,98,135,46,122,49,75,14,33,105,15,63
BIHAR,Embezzlement,2501,2630,1831,1966,1898,1674,2295,2709,2243,2473,3268,2778
CHHATTISGARH,Embezzlement,17,44,33,28,16,31,38,23,31,13,42,40
GOA,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,Embezzlement,0,0,0,0,0,2,0,0,5,12,86,0
HARYANA,Embezzlement,0,2,3,7,10,23,21,19,17,19,8,8
HIMACHAL PRADESH,Embezzlement,29,10,8,3,12,0,8,4,14,0,0,0
JAMMU & KASHMIR,Embezzlement,2,3,7,1,0,1,0,2,4,2,1,1
JHARKHAND,Embezzlement,855,507,774,774,566,578,857,861,638,1108,953,1689
KARNATAKA,Embezzlement,520,674,772,572,730,1096,1239,1495,1853,2154,2287,2578
KERALA,Embezzlement,3,3,8,1,3,5,6,2,3,7,5,6
MADHYA PRADESH,Embezzlement,97,68,73,106,94,107,140,94,610,152,170,321
MAHARASHTRA,Embezzlement,39,56,83,59,75,178,141,161,175,120,173,106
MANIPUR,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,Embezzlement,526,712,716,697,1059,1193,1509,2154,1698,3279,2267,2049
PUNJAB,Embezzlement,0,0,6,2,11,7,7,7,20,3,6,0
RAJASTHAN,Embezzlement,7,4,1,23,0,5,4,8,3,0,0,50
SIKKIM,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,Embezzlement,66,221,353,356,512,193,971,613,481,422,425,569
TRIPURA,Embezzlement,0,0,0,0,0,0,0,0,2,1,0,0
UTTAR PRADESH,Embezzlement,1119,913,1019,1064,1498,1682,1612,794,812,418,505,2244
UTTARAKHAND,Embezzlement,7,4,5,5,4,0,2,2,1,0,7,0
WEST BENGAL,Embezzlement,8,8,26,43,97,27,145,97,74,142,196,466
TOTAL (STATES),Embezzlement,7035,6657,6258,6229,7159,7556,10271,10492,10225,12045,12339,15748
A & N ISLANDS,Embezzlement,0,0,0,0,0,0,1,0,0,0,0,0
CHANDIGARH,Embezzlement,0,0,0,0,0,0,0,0,1,0,1,0
D & N HAVELI,Embezzlement,0,0,0,0,0,0,0,0,1,0,0,0
DAMAN & DIU,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,Embezzlement,19,13,14,25,15,23,23,17,2,6,6,11
LAKSHADWEEP,Embezzlement,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Embezzlement,2,9,15,7,23,2,26,26,13,29,26,27
TOTAL (UTs),Embezzlement,21,22,29,32,38,25,50,43,17,35,33,38
TOTAL (ALL-INDIA),Embezzlement,7056,6679,6287,6261,7197,7581,10321,10535,10242,12080,12372,15786
ANDHRA PRADESH,Organized Crime,509,2347,911,1409,2688,1387,1025,937,708,804,323,26
ARUNACHAL PRADESH,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,Organized Crime,1,3,0,0,0,0,0,0,0,0,1,3
BIHAR,Organized Crime,42,2,0,0,0,0,0,0,0,0,0,7
CHHATTISGARH,Organized Crime,0,0,0,0,0,0,0,0,1,1,0,1
GOA,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,Organized Crime,0,8,15,0,0,0,0,0,0,0,0,0
HARYANA,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,10
HIMACHAL PRADESH,Organized Crime,0,0,0,2,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,Organized Crime,0,0,0,0,0,0,0,0,2,0,0,0
JHARKHAND,Organized Crime,0,0,0,0,0,8,0,0,0,20,0,0
KARNATAKA,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,Organized Crime,50,44,29,62,120,66,31,35,30,45,10,9
MADHYA PRADESH,Organized Crime,0,0,0,0,0,6,0,0,2,0,0,0
MAHARASHTRA,Organized Crime,18,55,8,13,11,37,1,2,19,0,1,2
MANIPUR,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,Organized Crime,0,0,0,0,0,0,0,0,0,0,1,1
PUNJAB,Organized Crime,1,10,1,7,0,0,0,0,0,0,0,0
RAJASTHAN,Organized Crime,52,47,94,103,94,104,125,105,116,63,105,66
SIKKIM,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,Organized Crime,11,9,7,77,59,51,27,4,1,18,12,40
TRIPURA,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,Organized Crime,6,0,0,0,0,0,0,0,0,3,7,0
UTTARAKHAND,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,Organized Crime,0,0,1,27,4,4,20,3,0,3,1,10
TOTAL (STATES),Organized Crime,690,2525,1066,1700,2976,1663,1229,1086,879,957,461,175
A & N ISLANDS,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,Organized Crime,0,1,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,Organized Crime,4,1,0,0,0,2,0,0,0,0,0,0
LAKSHADWEEP,Organized Crime,0,0,0,0,0,0,0,0,0,1,0,0
PUDUCHERRY,Organized Crime,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),Organized Crime,4,2,0,0,0,2,0,0,0,1,0,0
TOTAL (ALL-INDIA),Organized Crime,694,2527,1066,1700,2976,1665,1229,1086,879,958,461,175
ANDHRA PRADESH,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,Cyber Crime,0,0,0,0,0,0,0,7,0,0,0,0
GOA,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,Cyber Crime,0,0,0,0,18,0,0,0,0,0,0,0
SIKKIM,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),Cyber Crime,0,0,0,0,18,0,0,7,0,0,0,0
A & N ISLANDS,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),Cyber Crime,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),Cyber Crime,0,0,0,0,18,0,0,7,0,0,0,0
ANDHRA PRADESH,Total crimes against women,22218,26627,29101,28976,31136,30660,35121,35831,36465,38570,37766,39288
ARUNACHAL PRADESH,Total crimes against women,218,207,160,162,129,141,203,180,182,197,199,202
ASSAM,Total crimes against women,5497,6764,7551,8117,8760,8438,8797,8531,11810,12996,11241,12346
BIHAR,Total crimes against women,13034,13009,11323,12334,11220,11757,14955,14223,14457,13134,18157,20147
CHHATTISGARH,Total crimes against women,5312,5107,4869,6051,5491,5758,5855,6026,6337,6577,6423,6594
GOA,Total crimes against women,186,135,191,227,229,159,145,176,235,214,159,286
GUJARAT,Total crimes against women,13464,12563,14060,15549,16510,18188,21665,22194,21170,20459,22223,23965
HARYANA,Total crimes against women,5845,7031,6524,6610,6275,6857,7071,7421,7350,7540,6696,7264
HIMACHAL PRADESH,Total crimes against women,1372,1245,1083,1203,1267,1151,1476,1494,1428,1481,1268,1325
JAMMU & KASHMIR,Total crimes against women,2424,2764,3580,3345,3163,3896,4411,3233,4095,3569,5098,5204
JHARKHAND,Total crimes against women,3750,3765,3931,3931,3432,4117,4528,4932,4309,5172,4873,6549
KARNATAKA,Total crimes against women,9819,10047,10376,9154,10590,11035,11302,12780,13941,15179,16084,16680
KERALA,Total crimes against women,8076,8968,8726,9849,10669,11406,11210,11353,11132,13253,13964,13517
MADHYA PRADESH,Total crimes against women,22308,25388,24089,27027,24254,23753,25990,26163,28262,27814,27818,29247
MAHARASHTRA,Total crimes against women,30600,30106,29336,30432,34156,36197,36040,38390,41095,40377,39643,41048
MANIPUR,Total crimes against women,102,161,150,132,127,104,133,147,183,141,170,202
MEGHALAYA,Total crimes against women,54,80,82,96,106,158,130,161,178,228,258,271
MIZORAM,Total crimes against women,138,155,173,79,85,138,152,177,165,194,149,215
NAGALAND,Total crimes against women,38,49,30,36,37,64,58,68,72,66,49,75
ODISHA,Total crimes against women,7455,7413,7805,7884,9524,10408,10424,10910,11346,16112,14122,17183
PUNJAB,Total crimes against women,4664,4724,4192,3642,3303,3882,4211,4233,4100,4646,4436,5048
RAJASTHAN,Total crimes against women,13831,13295,12692,14640,12838,14546,14548,14097,15455,15335,16764,17095
SIKKIM,Total crimes against women,24,24,36,69,42,39,63,55,76,68,59,69
TAMIL NADU,Total crimes against women,14116,12756,11721,12750,12275,9483,11601,11345,9450,9649,9727,10913
TRIPURA,Total crimes against women,590,558,878,983,1308,1272,1107,1774,2727,2127,2676,1946
UTTAR PRADESH,Total crimes against women,42283,35542,23433,32979,32720,34720,48291,57874,63332,58330,72153,77745
UTTARAKHAND,Total crimes against women,1436,1750,1827,2660,1648,2176,2711,1690,2064,1750,1344,1420
WEST BENGAL,Total crimes against women,11114,14160,15992,16613,19227,22398,22175,24328,20671,26549,26320,34023
TOTAL (STATES),Total crimes against women,239968,244393,233911,255530,260521,272901,304373,319786,332087,341727,359839,389867
A & N ISLANDS,Total crimes against women,34,30,36,44,32,49,80,85,126,131,86,73
CHANDIGARH,Total crimes against women,174,196,206,331,306,352,290,216,158,138,128,268
D & N HAVELI,Total crimes against women,24,19,24,32,35,25,21,64,20,46,14,30
DAMAN & DIU,Total crimes against women,42,14,10,15,17,28,57,51,38,51,55,45
DELHI,Total crimes against women,3124,3080,4789,5196,5853,6207,5648,3115,2753,3040,3475,3981
LAKSHADWEEP,Total crimes against women,0,3,3,1,0,1,2,2,2,1,0,1
PUDUCHERRY,Total crimes against women,223,246,221,173,191,260,337,191,152,205,205,110
TOTAL (UTs),Total crimes against women,3621,3588,5289,5792,6434,6922,6435,3724,3249,3612,3963,4508
TOTAL (ALL-INDIA),Total crimes against women,243589,247981,239200,261322,266955,279823,310808,323510,335336,345339,363802,394375
